title,lead,body,publication_date,sections
"Votations fédérales : les Suisses disent oui au nucléaire","51% des votants approuvent la levée du moratoire","Le peuple suisse accepte de justesse la construction de nouvelles centrales nucléaires. Cette décision marque un tournant dans la politique énergétique helvétique.",2024-09-30 18:00:00,"{Actualités,Politique,Énergie}"
"Clint Capela champion NBA avec les Hawks","Le Genevois soulève son premier titre en carrière","Le pivot suisse des Atlanta Hawks remporte enfin le titre NBA après une finale épique en sept matches. Capela a été décisif dans les rebonds tout au long des playoffs.",2024-09-30 05:00:00,"{Sport,Basketball,Genève}"
"Le Musée Tinguely fête ses 30 ans","Exposition anniversaire des machines cinétiques","Le musée bâlois consacré à Jean Tinguely célèbre trois décennies d'existence avec une exposition rétrospective. Les célèbres machines-sculptures de l'artiste suisse sont mises à l'honneur.",2024-09-29 14:30:00,"{Culture,Arts,Bâle}"
"Crise énergétique : la Suisse rationne l'électricité","Des coupures tournantes programmées cet hiver","Face à la pénurie d'électricité, le Conseil fédéral annonce des mesures de rationnement. Les entreprises et ménages devront réduire leur consommation de 20% durant les pics de demande.",2024-09-29 09:00:00,"{Actualités,Énergie,Suisse}"
"Marco Odermatt remporte son 3e gros globe","Le Nidwaldien domine la saison de ski alpin","Marco Odermatt conclut une saison parfaite en remportant le classement général de la Coupe du monde pour la troisième fois consécutive. Le Suisse s'impose comme le meilleur skieur de sa génération.",2024-09-28 19:45:00,"{Sport,Ski alpin,Nidwald}"
"Les Francofolies de Spa débarquent en Suisse","Un nouveau festival de chanson francophone à Sion","La ville valaisanne accueillera dès 2025 une antenne des célèbres Francofolies. Le festival mettra en avant les artistes francophones suisses et internationaux.",2024-09-28 16:00:00,"{Culture,Musique,Valais}"
"Affaire des fiches : nouveaux documents déclassifiés","Le Conseil fédéral publie des archives secrètes","Des milliers de documents relatifs à la surveillance politique en Suisse durant la Guerre froide sont rendus publics. Ces archives révèlent l'ampleur du fichage des citoyens.",2024-09-28 12:30:00,"{Actualités,Histoire,Suisse}"
"Le Servette FC qualifié pour la Ligue des Champions","Première participation genevoise depuis 1962","Le club grenat réalise l'exploit en se qualifiant pour la phase de poules de la Ligue des Champions. Une première historique qui récompense le travail de l'équipe dirigeante.",2024-09-27 22:00:00,"{Sport,Football,Genève}"
"La Cinémathèque suisse rouvre après rénovation","Le temple du cinéma lausannois fait peau neuve","Après deux ans de travaux, la Cinémathèque suisse dévoile ses nouveaux espaces. Le bâtiment agrandi propose trois salles de projection et un centre de recherche cinématographique.",2024-09-27 17:30:00,"{Culture,Cinéma,Lausanne}"
"Hausse du chômage en Suisse romande","Le taux grimpe à 3,8% dans les cantons francophones","Les statistiques du SECO révèlent une dégradation du marché de l'emploi en Suisse romande. Les secteurs de l'horlogerie et de la construction sont particulièrement touchés.",2024-09-27 10:00:00,"{Actualités,Économie,Suisse romande}"
"Wendy Holdener en tête du slalom de Levi","La Schwyzoise s'impose en Finlande","Wendy Holdener remporte son premier slalom de la saison en devançant Mikaela Shiffrin. La Suissesse lance idéalement sa quête d'un premier gros globe de cristal.",2024-09-26 15:00:00,"{Sport,Ski alpin,Schwyz}"
"Le Festival de la Cité transforme Lausanne","Cinq jours d'arts de la rue dans la capitale vaudoise","Le Festival de la Cité investit les places et rues de Lausanne avec 200 spectacles gratuits. Théâtre, danse, cirque et musique animent la ville durant tout le week-end.",2024-09-26 11:30:00,"{Culture,Festival,Lausanne}"
"Votation cantonale genevoise sur le salaire minimum","Les Genevois approuvent les 23 francs de l'heure","Le canton de Genève adopte le salaire minimum le plus élevé de Suisse avec 23 francs de l'heure. Cette mesure doit entrer en vigueur dès janvier prochain.",2024-09-25 19:00:00,"{Actualités,Politique,Genève}"
"Le SC Berne champion de Suisse de hockey","Les Bernois décrochent leur 17e titre national","Le SCB s'impose en finale des playoffs face aux ZSC Lions. Un titre qui récompense une saison exceptionnelle de la formation de la capitale.",2024-09-25 22:30:00,"{Sport,Hockey sur glace,Berne}"
"Le Musée Jenisch présente Hodler","140 œuvres du peintre bernois à Vevey","Le Musée Jenisch organise une rétrospective Ferdinand Hodler avec des toiles venues de collections privées rarement exposées. L'exposition explore les périodes symboliste et monumentale de l'artiste.",2024-09-25 13:45:00,"{Culture,Arts,Vevey}"
"Grève des enseignants dans le canton de Vaud","5000 professeurs manifestent pour de meilleures conditions","Les enseignants vaudois descendent dans la rue pour protester contre la surcharge de travail et réclamer des hausses salariales. Le mouvement perturbe les cours dans tout le canton.",2024-09-24 16:00:00,"{Actualités,Éducation,Vaud}"
"Dario Cologna annonce sa retraite sportive","Le fondeur grison tire sa révérence à 38 ans","Quadruple champion olympique, Dario Cologna met un terme à sa carrière exceptionnelle. Le Grison restera comme l'un des plus grands fondeurs de l'histoire du ski nordique.",2024-09-24 18:30:00,"{Sport,Ski de fond,Grisons}"
"Le Septembre Musical de Montreux débute","Deux semaines de concerts de musique classique","Le festival montreusien ouvre sa 60e édition avec un concert du pianiste Lang Lang. La programmation mêle jeunes talents et artistes consacrés dans les plus beaux lieux de la Riviera.",2024-09-24 20:00:00,"{Culture,Musique classique,Montreux}"
"La Suisse face à une pénurie de main-d'œuvre","200'000 postes vacants dans tout le pays","Les entreprises helvétiques peinent à recruter dans tous les secteurs. La santé, l'informatique et l'ingénierie sont particulièrement concernés par cette crise des talents.",2024-09-23 14:30:00,"{Actualités,Économie,Emploi}"
"Ramon Zenhäusern champion du monde de slalom","L'or pour le Valaisan aux Mondiaux de Courchevel","Le skieur du Haut-Valais réalise une deuxième manche parfaite pour décrocher le titre mondial. Un exploit qui vient couronner des années d'efforts.",2024-09-23 13:00:00,"{Sport,Ski alpin,Valais}"
"La Fête des Vignerons inscrite au patrimoine de l'UNESCO","Reconnaissance internationale pour la tradition vaudoise","L'UNESCO inscrit la Fête des Vignerons de Vevey sur sa liste du patrimoine immatériel. Cette célébration viticole millénaire est reconnue pour sa dimension culturelle exceptionnelle.",2024-09-23 10:00:00,"{Culture,Tradition,Vaud}"
"Débat houleux au Conseil national sur l'immigration","La droite et la gauche s'affrontent sur les quotas","Les parlementaires fédéraux se sont opposés vivement sur la question de l'immigration. L'UDC réclame des quotas stricts tandis que la gauche défend une politique d'accueil.",2024-09-22 17:00:00,"{Actualités,Politique,Migration}"
"Le FC Lugano se qualifie pour l'Europa League","Première européenne pour le club tessinois depuis 30 ans","Les Bianconeri créent la sensation en éliminant le Fenerbahçe en barrages. Le club tessinois retrouve une compétition européenne après trois décennies d'absence.",2024-09-22 23:00:00,"{Sport,Football,Tessin}"
"Le Grand Théâtre de Genève présente 'Carmen'","Nouvelle production de l'opéra de Bizet en version moderne","Le metteur en scène Calixto Bieito signe une relecture contemporaine et audacieuse de Carmen. La production divise le public genevois entre enthousiastes et détracteurs.",2024-09-22 15:30:00,"{Culture,Opéra,Genève}"
"Accident grave sur l'A1 près de Lausanne","Un carambolage fait 5 blessés sur l'autoroute","Un accident impliquant sept véhicules a provoqué d'importantes perturbations sur l'autoroute A1 entre Lausanne et Morges. Cinq personnes ont été hospitalisées.",2024-09-21 12:00:00,"{Actualités,Faits divers,Vaud}"
"Michelle Gisin médaillée d'or au combiné","Double titre olympique pour la Suissesse","Michelle Gisin conserve son titre olympique en combiné alpin. L'Obwaldienne devance sa compatriote Wendy Holdener pour un doublé suisse historique.",2024-09-21 08:30:00,"{Sport,Ski alpin,Obwald}"
"Le Musée suisse des transports bat un record","550'000 visiteurs en 2024 à Lucerne","Le musée lucernois confirme son statut de site touristique le plus visité de Suisse. La nouvelle exposition sur l'aviation spatiale explique en partie ce succès.",2024-09-20 16:45:00,"{Culture,Musées,Lucerne}"
"Le Conseil fédéral présente son plan climat","100 mesures pour atteindre la neutralité carbone","Le gouvernement suisse dévoile sa feuille de route climatique. Les transports, le bâtiment et l'agriculture seront les secteurs prioritaires pour la réduction des émissions.",2024-09-20 11:00:00,"{Actualités,Environnement,Politique}"
"Eugenie Bouchard rejoint le Tournoi de Genève","La Canadienne tête d'affiche de l'édition 2025","L'ancienne finaliste de Wimbledon a confirmé sa participation au Ladies Open de Genève. Le tournoi WTA attire une nouvelle fois les meilleures joueuses mondiales.",2024-09-19 19:30:00,"{Sport,Tennis,Genève}"
"Le Festival du film fantastique de Neuchâtel ouvre ses portes","NIFFF 2024 : dix jours de cinéma de genre","Le festival neuchâtelois démarre avec la projection mondiale d'un film de science-fiction sud-coréen. Plus de 100 films seront projetés durant l'événement.",2024-09-19 14:00:00,"{Culture,Cinéma,Neuchâtel}"
"Crise dans l'horlogerie suisse","Les exportations chutent de 15% sur un an","L'industrie horlogère suisse traverse une période difficile avec une baisse marquée des exportations vers la Chine et Hong Kong. Les marques du luxe sont particulièrement affectées.",2024-09-19 09:30:00,"{Actualités,Économie,Horlogerie}"
"Joël Monteiro buteur avec le Sporting Portugal","Le Jurassien s'illustre en Ligue des Champions","Le jeune attaquant suisse a inscrit son premier but en C1 face à Manchester City. Une performance remarquée qui confirme son éclosion au plus haut niveau.",2024-09-18 23:15:00,"{Sport,Football,Jura}"
"La Nuit des musées illumine Genève","80'000 visiteurs pour la 22e édition","La Nuit des musées genevoise affiche complet avec des files d'attente devant les institutions culturelles. Le Musée d'art et d'histoire et le Musée Ariana ont particulièrement séduit.",2024-09-18 01:00:00,"{Culture,Événement,Genève}"
"Référendum contre la réforme fiscale lancé","La gauche récolte des signatures contre la baisse d'impôts","Un comité référendaire s'oppose à la réforme fiscale adoptée par le parlement. Les opposants dénoncent des cadeaux aux plus fortunés au détriment des services publics.",2024-09-17 16:00:00,"{Actualités,Politique,Fiscalité}"
"Le HC Ambri-Piotta inaugure sa nouvelle patinoire","15'000 spectateurs pour le match d'ouverture","La Valascia nouvelle génération accueille son premier match officiel dans une ambiance électrique. Les Léventins s'imposent 4-2 face à Davos pour fêter dignement l'événement.",2024-09-17 22:30:00,"{Sport,Hockey sur glace,Tessin}"
"Le Festival Images de Vevey revient en 2025","Biennale de la photographie sur les quais du Léman","Les organisateurs du Festival Images annoncent le thème de la prochaine édition : 'Mutations'. Des expositions en plein air investiront la ville de Vevey durant tout l'été.",2024-09-17 13:30:00,"{Culture,Photographie,Vevey}"
"Hausse des primes maladie confirmée","Les assurés paieront 6% de plus en 2025","Le Conseil fédéral confirme l'augmentation des primes d'assurance maladie. Cette hausse significative pèsera sur le budget des ménages suisses.",2024-09-16 18:00:00,"{Actualités,Santé,Assurances}"
"Denis Malgin retrouve les ZSC Lions","Le Zurichois rentre au pays après 8 ans en NHL","L'attaquant suisse fait son retour en National League après une carrière en Amérique du Nord. Malgin s'engage pour trois saisons avec les champions en titre.",2024-09-16 15:00:00,"{Sport,Hockey,Zürich}"
"Le Château de Gruyères accueille HR Giger","Exposition temporaire de l'artiste de l'Alien","Le musée médiéval fribourgeois présente une sélection d'œuvres de HR Giger. Les univers biomécanique et fantastique du créateur d'Alien côtoient l'architecture médiévale.",2024-09-16 11:00:00,"{Culture,Arts,Fribourg}"
"La Suisse accueille les championnats du monde de cyclisme","Zürich 2024 : une semaine de courses d'exception","La métropole zurichoise devient le centre du cyclisme mondial avec l'organisation des Mondiaux sur route. Plus de 200'000 spectateurs sont attendus le long des parcours.",2024-09-15 17:30:00,"{Sport,Cyclisme,Zürich}"
"Alizé Cornet à Lausanne pour le BGL Open","La Française favorite du tournoi vaudois","Le tournoi WTA de Lausanne accueille Alizé Cornet comme tête de série numéro 1. La compétition réunit les meilleures joueuses sur terre battue.",2024-09-15 13:00:00,"{Sport,Tennis,Lausanne}"
"Le Musée d'ethnographie de Genève rénové","Réouverture après cinq ans de travaux","Le MEG dévoile ses nouveaux espaces entièrement repensés. L'institution genevoise propose un parcours immersif à travers les cultures du monde avec 1500 objets exposés.",2024-09-15 10:00:00,"{Culture,Musées,Genève}"
"Initiative populaire sur les animaux de rente acceptée","Le peuple suisse vote pour plus de bien-être animal","L'initiative pour l'interdiction de l'élevage intensif est acceptée de justesse avec 50,8% des voix. Cette décision historique va transformer l'agriculture suisse.",2024-09-14 19:00:00,"{Actualités,Agriculture,Votations}"
"Romain Grosjean de retour en Formule 1","Le Vaudois pilote d'essai chez Alpine","Après trois ans en IndyCar, Romain Grosjean revient en F1 dans un rôle de pilote de développement. Le Suisse contribuera à l'amélioration de la monoplace française.",2024-09-14 14:30:00,"{Sport,Formule 1,Vaud}"
"Le Théâtre du Grütli présente 'Rhinocéros'","Ionesco revisité par la compagnie genevoise","La troupe genevoise propose une relecture contemporaine de la pièce de Ionesco. La mise en scène transpose l'action dans le monde des réseaux sociaux.",2024-09-14 11:30:00,"{Culture,Théâtre,Genève}"
"Scandale de dopage dans le football suisse","Quatre joueurs de Super League suspendus","L'Agence suisse antidopage annonce la suspension de quatre footballeurs professionnels après des contrôles positifs. Les clubs concernés refusent de communiquer les identités.",2024-09-13 20:00:00,"{Sport,Football,Dopage}"
"Le Jardin botanique de Genève fête ses 200 ans","Exposition exceptionnelle de plantes rares","Le jardin botanique célèbre son bicentenaire avec l'ouverture d'une serre dédiée aux espèces menacées. Plus de 500 plantes en voie de disparition sont présentées au public.",2024-09-13 15:00:00,"{Culture,Sciences,Genève}"
"Forte hausse du prix du pain en Suisse","Les boulangers répercutent l'inflation sur les consommateurs","Le coût des céréales et de l'énergie force les boulangers romands à augmenter leurs prix de 10 à 15%. Un pain de campagne coûte désormais plus de 7 francs.",2024-09-13 12:00:00,"{Actualités,Économie,Alimentation}"
